,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Apoa4,-0.11872672,-0.017022219,-0.018965198,-0.08627867,-0.0141091235,0.42698124,-0.07879441,0.13745731,-0.083066344,0.019220801,0.085729145,0.21417636,-0.06406982,0.019503416,0.7551447,-0.19565834,0.8663189,-0.18582463,1.6209359,0.039836146
Nxpe2,-0.28054655,0.6467187,0.11616605,0.38663134,-0.17655112,0.031900812,-0.1671906,-0.24307221,0.0121535,0.48881936,0.002426649,-0.24775286,-0.31375182,0.109258674,-1.3613442,-0.004788937,-0.18018518,-3.0291688,3.0204968,0.13410172
Plet1,-0.015415253,0.25445178,0.23281309,0.6033081,0.67335653,-0.19061439,0.122485496,-0.83820045,-0.020508753,1.8583683,0.18338493,-0.13399121,0.008858757,-0.4236397,-0.24817719,0.094235346,-0.9550911,0.11154279,0.9255701,-0.15848707
Hspb2,-0.1362149,0.23811136,0.11824479,-0.6003468,0.23604631,-0.3005457,-0.16135713,-0.014864939,0.19671291,1.1657165,-0.24936472,0.084352374,0.111432195,0.3905162,-1.5444014,0.5849137,-0.35669073,-0.2252686,1.4125055,-0.5038389
Cryab,-0.229919,0.10248032,-0.11209919,-0.6388217,0.16933815,-0.19600472,-0.15031502,-0.25822854,0.21581288,1.6826696,-0.09413843,0.25489825,-0.018772205,0.58060014,-0.9324187,0.6981514,0.018066533,-0.5606838,0.55510885,-0.31641576
Crabp1,-0.19550338,-0.32225543,-0.2668212,0.023290453,-0.035855986,-0.18043654,-0.014653622,0.56021374,-0.50517875,-0.12440775,0.1259644,0.2962401,0.15620407,-0.02702832,-1.3325188,-0.41242263,0.9711095,-0.3787751,-0.8370195,-0.047620647
Commd4,-0.17991766,0.04154432,-0.045178447,0.044073336,-0.09691761,-0.08391876,0.06307478,0.14955035,-0.0586593,-0.50211626,0.004261397,-0.06866712,0.020640058,-0.008958576,0.412814,-0.03219401,0.048826132,0.3055553,-0.65994346,-0.022243204
Hexa,-0.103730075,-0.108655915,-0.16294587,0.07265717,0.071561426,-0.14241394,-0.06644938,0.16661513,-0.0034276857,-0.3835781,0.05272108,-0.1693209,-0.116437554,-0.10996587,0.107306145,0.16476652,0.41533756,0.30727434,0.12370558,-0.00615447
Fbxl22,0.04401009,0.2899797,0.39618143,-0.63435715,0.15637274,-0.34847906,0.14464343,-0.042336248,0.19146265,0.88397324,-0.30341977,-0.04955536,0.049166154,0.29143262,-1.444991,0.09677969,0.3841224,-0.77664727,1.7469193,-0.121455215
Tpm1,-0.1229357,0.14851788,-0.014824148,-0.17350821,0.040548738,-0.23596205,-0.036606923,-0.17109199,0.14771663,-0.10426513,-0.09537589,0.0025978398,0.11074902,-0.04024744,-0.2101087,0.16813783,0.108144164,0.16804557,-1.3636922,-0.2095189
Anxa2,-0.2929306,-0.04570018,-0.1853095,-0.022546683,0.19268183,0.097703606,-0.105539925,-0.012600983,0.11594462,1.5998633,-0.045827523,-0.03859563,-0.052357957,-0.039715983,-0.8651901,0.48817864,-0.38185194,-0.069919445,-0.41657943,0.10073864
Foxb1,0.18861662,-0.07749451,-0.01566155,-0.19090287,0.053935975,-0.13473624,-0.30277458,0.26165494,0.028189143,-0.15209341,-0.4217051,0.7857844,-0.64656174,0.17904691,-2.2890573,-0.62204504,-0.052182022,-0.27461433,1.0156296,0.6956636
Aldh1a2,-0.07189333,-0.25397635,0.002834235,0.24108362,-0.526297,-0.050931886,-0.9975055,0.2805835,-0.38492703,0.9337534,-0.31754404,0.113594,0.344628,-0.17775244,-1.7904096,-1.0623848,0.92819494,-0.92161465,0.70083326,0.2502262
Dppa5a,-0.2210365,0.09577468,0.17877194,-0.15374047,-0.14145276,-0.17499384,-0.00982635,-0.02361823,0.2550129,-0.2909819,0.4203775,-0.5985646,0.19757544,0.138266,-0.035489257,0.041190617,-0.5841078,1.0798209,0.80437577,-0.38679555
Myo6,0.1570489,0.1293213,0.018926062,-0.0028489523,-0.18910716,-0.025661921,0.11193537,-0.050787866,0.023728354,0.19702542,-0.045225807,0.023027847,0.17875865,0.019418668,0.23648101,0.35087037,0.6007826,-0.0102304,1.6357481,0.22317715
Prss35,0.056512102,0.50358546,-0.11414609,-0.14069211,0.13535218,0.34690118,0.1868332,0.2835697,-0.0012194067,0.9154758,-0.19882907,0.50206,-0.690444,0.11436987,-2.199267,0.90765435,0.4541893,-0.3668743,2.4378023,0.010814983
Ripply2,-0.061153147,-0.002947665,0.1390406,0.018395301,-0.2496289,-0.5669404,-1.0346586,0.45700988,-1.0726436,1.0006151,0.122170456,-0.32071266,-0.731674,0.2889205,-2.3284478,-1.0269636,-0.21943796,-0.50303185,2.1885061,0.084469534
Ctsh,-0.026199818,-0.17949355,0.1920467,0.13241698,-0.044943765,0.23309712,0.10857507,-0.21623096,0.059531678,0.15600462,0.114821404,0.035263278,0.067522176,-0.05939332,0.93134934,-0.053056244,0.76876694,0.33172077,0.87049747,0.3108772
