,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Sox17,-0.27274045,-0.24641015,0.12241668,-0.04509162,-0.2871511,-0.78952295,0.67140967,-1.0450758,0.37100375,0.50735044,0.37974536,-0.274546,0.1963099,-0.24071984,0.120629795,0.14070933,0.9771603,0.89612275,1.3048143,0.47562358
Tfap2b,-0.20003118,-0.8661006,-1.0431752,0.26463538,0.44113946,0.31645852,0.23102893,0.24166171,-1.1897198,2.0349932,0.72457623,0.5246092,-0.2670294,-0.6033686,-3.0581894,0.12118403,-0.3794374,-2.7049975,2.6959343,0.2054269
Cfc1,-0.3477145,0.62412626,0.08849305,0.013252758,-0.36855894,0.049087454,-0.031557173,-0.61749184,0.021972679,0.40750378,-0.2964338,-0.349046,0.16251431,-0.10841239,-0.7091844,-0.30089477,0.98742443,0.8579231,0.6560685,-0.98188555
Col3a1,0.11053742,0.892152,0.19439276,0.5848412,0.22126706,-0.14274685,-0.2023255,0.46760175,-0.41780204,1.1860707,0.3269114,0.11396948,-0.20677094,0.26268202,-2.6604843,0.7369775,1.2204416,-1.991427,2.4477968,-0.24173449
Sdpr,-0.010300477,0.03227036,-0.24571112,0.23547994,0.36931744,0.4309608,-0.23625362,-0.13837615,0.07929834,1.9861552,-0.66021335,-0.032299466,0.11410752,0.21940018,-2.1270244,0.73539084,0.4565956,-1.2984076,1.926121,-0.06341841
Inpp1,-0.07188784,0.12455677,0.22387052,0.26531914,0.04245187,-0.05333165,0.12716483,0.41050172,-0.065055676,0.84626096,-0.11177262,0.008528333,-0.20095426,-0.15422767,-0.6444097,0.05855542,-0.7528404,0.28954703,0.5620385,0.41156515
Myl1,-0.09424159,0.033699643,0.13203846,-1.101275,-0.1287532,-0.32314602,-0.18392307,-0.01259071,-0.14440028,1.6101178,0.07085403,-0.5649395,0.001026775,0.15247872,-2.3812318,-0.5687922,0.500403,-1.1429642,1.4016899,-0.2749111
Fn1,0.24145654,-0.08471198,-0.15359783,0.21339501,-0.11241354,-0.13402517,-0.121570356,-0.26671928,-0.028851008,-0.010222553,0.27878514,-0.5574229,0.00029198418,0.21799707,-0.46870497,-0.069376886,0.9167386,0.03205292,-0.4722797,-0.062968604
Igfbp2,-0.20000353,0.09725183,-0.28740317,0.08935031,-0.021284826,0.14892997,0.022038795,-0.05071046,0.0861676,-0.99113953,0.042387377,0.4951094,-0.15792951,0.18709002,-0.8751043,0.3066208,0.025262438,0.98596036,-0.765749,0.08065227
Igfbp5,0.30752027,0.4175568,0.10520576,-0.22204213,-0.1551138,-0.62772775,-0.055645097,-0.24559088,-0.4419521,0.014216123,0.09797686,0.8408586,0.086926885,-0.101601355,-0.37524426,0.5335876,1.0054181,-0.43767163,1.3397497,0.19792743
Vil1,-0.15494682,-0.054996517,0.21926148,-0.20975721,-0.23307897,-0.07172902,0.055168297,-0.26467386,0.0529703,0.3623305,-0.3122952,0.24174231,0.09556762,0.20389913,0.3259824,-0.10369835,0.67155766,-0.012044834,2.4371505,0.22332488
Wnt6,-0.27634537,0.27518043,-0.8483857,0.23178843,0.32714248,0.03929634,0.018572316,-0.10984807,0.25244242,2.0076501,-0.37489107,0.65544397,0.22615819,0.11281306,-0.9003358,-0.34030148,-0.96079487,-0.26768908,0.30451012,-0.34514302
Ihh,-0.2140985,-0.16981603,-0.1135781,-0.1923208,-0.28458455,-0.5236676,0.11953224,-0.4223552,0.26771185,0.68545103,-0.108432494,0.80977726,-0.119753934,0.06632617,0.08059994,-0.3548571,0.98203486,0.104491524,2.6028514,-0.130502
Des,0.0004749718,-0.059937447,0.32782197,-0.19096506,-0.121340044,-0.3544128,-0.008154069,0.21715336,0.06087128,0.3809376,-0.17125097,-0.32839987,0.005442564,-0.22438183,-1.4511142,0.23972628,-0.32075548,-0.34867266,0.36313948,-0.32525647
Pax3,-0.07026193,0.34624866,-0.8495432,-0.23450972,0.09460991,-0.037016537,0.3405121,0.267841,-0.8250274,0.56253,-0.0851411,0.85655344,0.120932266,-0.6771028,-2.010132,-0.7016846,0.56309897,-0.9114107,1.7764409,0.5922321
Ccl20,-0.024322888,-0.08858369,0.30939198,0.86459595,0.064445406,0.04357025,-0.48979977,-0.6822423,0.41556865,0.94228077,-0.6507951,0.04689024,-0.15182583,0.13219757,-0.9826609,-0.045768317,-1.5710163,1.0496451,3.7406092,0.8563287
Spp2,-0.27470997,0.48343784,-0.18112867,0.5400407,-0.17440988,0.5312474,-0.37586963,0.23469006,-0.109628476,0.23225594,0.01291031,0.66343254,0.20206794,0.10466355,0.40112096,-0.029350359,0.9442806,-0.78633773,2.4274945,0.14362565
Ramp1,0.016141301,0.3432642,0.31048316,-0.28863466,0.043712117,-0.19456032,-0.41887385,-0.0910847,0.0062426273,1.3162867,-0.4762033,0.22496623,-0.06980687,0.58871084,-2.2029846,0.828363,0.05322802,-0.96679157,2.2776008,-0.5296197
Twist2,-0.075668484,0.27330887,0.5066694,0.54987806,0.023372144,0.1473586,-0.22293712,0.46070835,-0.099559285,1.0665982,0.0865787,-0.09750578,-0.004487109,-0.3747635,-2.1526966,0.2957799,0.48580578,-0.5208709,0.8948197,-0.5628208
Gm29480,0.20896769,0.09546842,-0.29676667,0.019941617,-0.2800305,0.067980126,0.045474164,-0.052330103,-0.61765844,1.0929346,0.24715161,-0.43669567,-0.052389994,-0.19080687,-1.7214626,0.5602289,-0.03885472,-0.78830844,3.026865,-0.09707814
Tmem37,0.044460602,-0.15311335,-0.0873115,0.065121695,0.10088359,0.1642505,0.041310128,0.34191522,-0.086059466,0.32790348,0.09735783,0.23614538,-0.009628567,-0.016484657,0.92240894,0.25947338,0.05518642,0.19449903,0.6424769,0.08580889
En1,0.18821625,0.49588695,0.49149442,0.21098855,0.7206326,0.07644443,1.7734196,0.1741394,-0.57699955,0.23957662,-0.97634465,0.5430099,-0.88525987,0.3882323,-0.8439985,0.118314505,1.1762244,-0.11521434,3.385889,0.64854383
Myog,-0.6128058,0.87373036,-0.17644246,0.3689995,-0.31641465,-1.0736206,-0.92404974,0.4411333,-0.100334115,1.8173476,0.15419397,0.049463507,0.09319268,-0.16837452,-2.938561,1.3321435,-0.22814228,-1.8738229,4.3153706,-0.2621685
Elf3,-0.24317753,-0.06359626,-0.339146,-0.19949192,-0.15741152,-0.38035595,0.036367867,-0.23302086,-0.1388335,0.6448832,0.040827554,0.21931298,0.17375244,-0.26747936,0.09251561,-0.10747121,-0.377374,0.5171979,1.12381,-0.11632083
Csrp1,-0.14761654,0.005233924,-0.01072175,0.014834826,-0.15272646,-0.045722805,-0.07997028,0.14539711,0.25492486,0.3460051,-0.1667886,-0.09351534,0.017022448,-0.05764297,-0.13302283,0.35205036,0.17557445,0.14240326,-0.67393833,-0.120576344
Phlda3,-0.23049557,0.053095177,-0.35976076,-0.04656773,-0.09963154,0.107921265,-0.18905225,0.15555006,0.41613773,0.30501428,-0.24200706,-0.06349238,0.2811308,-0.04030692,-0.80499697,-0.04155591,-0.58452576,0.22429109,-0.42042857,0.033021204
Tnni1,-0.09593837,0.15366426,0.14292414,-0.43443835,-0.047562692,-0.0027186987,-0.39255372,-0.022877019,0.13756825,0.5487799,-0.41871727,-0.4574389,0.23110265,0.36293456,-0.8892355,0.12636192,0.92165875,-1.2029607,0.41570002,-0.28864926
Tnnt2,0.016010778,-0.013541578,0.34597662,-0.60050297,0.12502445,-0.0037577832,-0.15499017,-0.21335356,-0.10594807,1.1910924,-0.6761654,-0.0002590739,0.048954464,0.51218873,-1.5971503,0.30412698,0.6530545,-1.2625332,0.9549137,-0.40185577
Ptprc,-0.22385135,0.21119434,-0.34793994,-0.044288535,0.031552125,-1.2930664,-0.85875964,0.22376207,-0.28205127,1.3264536,0.31294158,-0.4301015,0.68216634,0.036829323,-2.3841403,0.32075,-0.78696173,-0.63702816,4.9787664,0.86119556
Rgs1,-0.67692536,0.14530723,-0.06633986,-0.14105992,0.06327045,-0.95207083,-0.5624652,-0.26409793,-0.25832283,3.9256818,0.57025176,-0.5829014,-0.14795287,-0.15859054,-2.67291,-0.0052208262,-0.32986304,-2.3390267,4.777415,0.7564888
Rgs18,0.020000938,-0.25765735,-0.39673716,0.0901259,0.48304757,-0.40259245,-0.8574937,-0.15819137,-0.4024341,2.1683857,-0.64620227,-1.2554812,0.038622063,0.28701976,-2.201051,0.2024355,-0.39564973,-2.322901,4.3028502,0.6349856
Lamc1,0.2712814,0.15279752,-0.39101025,-0.12983847,-0.2893395,-0.11925636,0.075974666,0.035122562,0.1468453,0.3106663,0.10610309,-0.042879395,-0.17987376,0.19433075,-0.37196648,0.3237305,0.006381754,0.07428476,0.34873557,-0.011408168
Npl,-0.11713217,-0.50148624,0.08013238,-0.08698481,-0.022901384,0.18741466,-0.02558961,0.030943984,0.135712,-0.29927123,-0.14548622,-0.26603472,0.05116333,-0.10047782,0.72973835,0.056579612,0.7411548,-0.1491872,0.70061314,0.32361177
Glul,-0.28745776,-0.039356,-0.16890854,0.06741578,-0.06218086,-0.133596,0.068928294,0.1636605,-0.112919874,-0.6531757,-0.06835601,-0.118964255,-0.06325383,-0.12855834,0.39308763,-0.15144692,0.093960926,0.44743168,-0.7170756,0.03889629
Fmo1,-0.22344248,-0.074414104,0.15089937,-0.05220625,0.17671806,0.0900919,0.032995243,0.35597143,0.13514805,0.3747717,0.22984222,0.066303104,0.13640767,-0.031200262,0.03214218,0.6841657,0.7203054,-0.9978557,2.5678437,0.48404574
Atp1b1,0.044954784,0.14384238,0.08482608,-0.28704664,0.056790322,-0.18957418,0.05317056,0.1573159,0.118654676,-0.1110715,-0.046084426,0.18092597,-0.035293754,-0.16752236,0.5506961,0.18252382,0.262674,0.41642606,0.6797525,-0.11658978
Mpc2,-0.17416815,0.084682554,-0.11881174,0.010217768,-0.058725458,-0.057645135,0.0432513,0.17375354,-0.13371567,0.012845776,-0.034952004,-0.3617071,0.03708005,0.088182315,0.4481306,0.01462723,0.1389585,-0.06611824,-0.4183581,-0.046611205
Rcsd1,-0.069997914,0.0011657572,0.18170276,-0.11792215,-0.023108145,-0.20713422,0.03715242,-0.23748694,-0.16936538,1.2315164,-0.41398814,-0.28342527,0.678067,0.026742313,-1.3296802,0.29159167,0.78435636,-0.6738615,1.2105705,0.23216604
Creg1,-0.05729087,-0.034270216,-0.1828209,0.0967361,-0.14346932,-0.13263433,0.059482392,0.018939314,-0.07937703,-0.08169861,-0.13846633,-0.41349474,0.191791,-0.118202,0.104931526,0.13386352,-0.14534168,-0.6301641,-0.16140157,0.2043861
Mgst3,-0.18586496,0.5522329,-0.2235724,-0.0787352,0.07188903,-0.005139998,-0.04636651,-0.013292667,0.011580682,-0.7056132,-0.02267771,-0.15084442,0.011872096,-0.16483817,0.6295797,0.03616675,-0.11292237,-0.48225898,0.25817454,-0.10605033
Rgs5,-0.175326,0.20276187,0.15915382,0.087083966,0.00939797,0.20576671,0.21268445,-0.37988773,-0.3462765,1.4273787,-0.019331917,-0.27869093,0.23324946,-0.19352259,-1.9220285,0.3730165,0.7145203,-0.30766338,0.48027983,-0.693898
Cfap126,-0.21326537,0.2930545,0.40666363,0.20920739,-0.0034292552,-0.27320048,-0.28922832,-0.29622763,-0.08989566,0.20714462,-0.48230684,0.0569968,-0.27327347,-0.5993811,-0.91698885,-0.3087611,0.13794635,-0.24014059,1.4582237,0.26420823
Apoa2,-0.057601694,0.14557074,0.15493499,0.0964823,0.18517333,-0.16224478,-0.313897,0.4563618,-0.027823893,-0.58878285,0.1246264,0.3138879,0.012894338,0.21544774,0.49056855,-0.10258815,0.5509729,-0.21269883,1.0087551,0.0040011574
Fcer1g,0.0018096217,-0.015519508,-0.38719895,-0.092900746,0.51795727,-0.48973855,-0.50032157,0.45839134,-0.20941478,0.68555504,0.00019131864,-0.6335498,0.26363775,0.44822246,-1.2164364,0.5724874,-0.23268986,-0.6741981,2.6973135,0.61014086
Casq1,0.27577063,-0.13679637,0.6838037,-0.16055264,0.20089816,-0.77881217,0.14747396,0.12487054,0.07076928,1.4374816,-0.08263238,-0.33754268,0.12898816,-0.047173336,-1.5019569,0.3246012,-0.7093648,-0.21378532,1.5065523,0.03317237
Tagln2,-0.2512103,-0.15483083,-0.10830855,0.10210389,-0.14030586,-0.1650594,-0.124355644,-0.18139511,0.12704249,-0.116998576,-0.11563214,0.03441784,0.043869007,-0.16294767,0.506312,0.10507766,-0.25260642,0.27413246,-1.0515468,0.28389028
Cfap45,-0.020101743,0.1191019,0.45757678,0.38798437,0.032450285,-0.32788417,-0.23987255,-0.49941856,-0.2438564,0.6023536,-0.52814746,0.28202438,-0.12628572,-0.7174583,-2.0368845,-0.13038094,-0.36249185,-0.66767913,2.4018047,0.6453778
Sccpdh,-0.15615472,-0.007730227,-0.11239342,0.039463855,-0.06477808,-0.1350915,0.072478406,0.042909067,-0.03228305,0.045392506,-0.17806394,0.021854328,-0.080512695,-0.10283585,0.24709134,0.01258994,0.31486788,0.3558403,-0.2396988,0.07167138
Mixl1,-0.26459017,0.8396924,0.19188641,0.68503094,0.44463283,-0.12337824,0.79430544,-0.477515,0.6927426,0.083491206,0.16191621,-1.2489779,-0.34976104,0.046660215,-1.3064677,-1.1135342,0.08751546,1.197394,1.8105468,0.06145392
Lefty2,0.15602553,0.91540796,0.74177563,0.12461832,-0.52429354,-0.83043987,-0.30996868,0.074012026,-0.95046353,0.3715061,-0.069768265,-0.8631798,-0.65947276,0.49692452,-1.7450457,-0.9973975,0.2239474,1.0590849,1.3579533,-0.55086565
Lefty1,-0.1858736,1.0853165,0.5234342,0.10142279,-1.373739,-0.39653516,0.48793826,-0.35893363,0.052072875,-0.28410292,-0.20642485,-0.82281274,0.04431448,0.16457824,-1.4948213,0.19452691,-0.44889444,0.13140397,2.3240838,0.55167013
Degs1,-0.03951591,-0.016979702,-0.11263558,0.10556392,-0.058838908,-0.038617652,-0.063264936,0.059766874,-0.063043386,-0.098118596,-0.07090327,-0.18276338,-0.1749477,-0.25941446,0.49675286,0.20367992,0.015107073,0.23223749,-0.76954,0.061704654
Marc1,-0.03161701,-0.015560486,-0.0881758,0.46181217,0.17502256,-0.20401154,-0.41036066,0.39940068,-0.3973965,1.0929371,-0.19235958,0.40504995,-0.0966673,0.1333613,-0.48450765,0.18124482,1.1112376,-0.80929804,2.5106893,-0.49118894
Tgfb2,0.07337487,0.18466298,0.44940674,0.07835578,-0.44851175,-0.34469464,-0.11775547,-0.28038573,-0.41977805,0.7059796,-0.034766354,0.33737612,0.08676585,-0.288057,-1.6475528,0.36830494,0.5905622,-0.03162212,0.5414794,-0.1528112
Batf3,-0.10119113,-0.29661846,-0.46807975,0.40720388,-0.19234456,-0.33687505,-0.15055373,0.318852,-0.15287168,0.72235525,0.013565764,0.3713807,0.5466871,0.007213353,-0.34592694,0.11016516,-0.6111207,0.030068224,0.7853248,-0.011713195
Cd34,0.11125508,-0.40911943,0.12845913,0.43181443,0.3396148,-0.17005415,0.12978359,-0.09595112,0.09162144,0.081254184,0.16418132,-0.15318128,0.33105186,0.023775518,-1.62254,0.71993464,-0.2010312,-0.1525122,1.6029061,0.4772279
Meig1,0.061918836,0.44999725,0.6815771,0.27967113,-0.16993254,-0.37192863,-0.39304364,-0.6065551,-0.036561776,1.6583313,-0.54350615,0.20657417,0.048822008,-0.64536554,-1.0592659,-0.6883636,-0.63252133,-0.5556504,3.2539802,-0.060382154
Phyh,-0.27308592,0.16171011,0.02063253,0.11349428,-0.072983816,-0.12646735,-0.021931306,0.09864682,-0.12789729,-0.19927338,-0.13452709,0.08188939,-0.058842756,-0.1630278,0.13080335,0.085019425,0.24196821,0.46217653,0.5746106,-0.0016584249
Sfmbt2,0.2561132,0.06398356,-0.121215135,-0.04034477,-0.20288876,-0.05988632,0.043711316,0.06673259,-0.17442887,1.2885052,0.15265982,-0.11316678,0.114727,-0.020538516,0.5419927,-0.12350778,-0.5280148,0.015426752,1.4312948,-0.02114897
Cubn,0.37225768,0.041458603,-0.07980278,0.08292082,-0.2186169,0.3565792,0.039504662,0.11131163,0.031495623,0.05636294,-0.017629039,0.033478793,0.11734062,0.1419589,0.636583,-0.11998316,0.7092066,-0.025660902,1.6891224,-0.02123482
Vim,-0.09499434,-0.44181135,0.019772995,0.08182229,0.03673503,0.06510205,-0.23719418,-0.025747152,0.24214916,0.06764535,-0.007639424,-0.15107648,0.08609981,-0.10982689,-1.2264919,0.34589514,0.8167587,0.25255355,-0.82307345,-0.047959693
Nebl,0.028247485,0.06994905,0.26955256,-0.46885642,0.0037624503,-0.22850591,0.096651316,0.12887397,-0.3302258,1.0586991,-0.447285,0.33658594,-0.0070285574,0.03589747,-1.8922145,0.5063795,0.14039685,-0.7631256,1.0398946,-0.53325456
Enkur,-0.10305385,0.3604774,0.67546904,0.39089188,-0.10520266,-0.24128929,-0.36969492,-0.7622067,0.036152285,0.7693546,-0.65201485,0.05679727,-0.15447728,-0.35799718,-1.993573,-0.24274105,-0.3233397,-0.048237562,2.380604,0.16655411
Pax8,-0.24120016,0.10106433,-0.12736766,0.94284356,0.25174972,-1.0063577,0.5763499,0.36841705,-0.6538013,-0.3899373,-0.23440789,1.034049,0.14937983,0.1728228,-1.5631534,-0.12782602,-0.15627506,-0.8841844,3.2667847,0.5915076
Uap1l1,-0.28646725,0.24165957,-0.10676615,0.20213589,-0.04138989,-0.29521054,-0.06176287,0.27074853,0.28969386,0.67133003,0.30269426,0.055897836,0.017647348,-0.33863056,0.4095916,-0.3610681,0.16440834,0.06979249,1.0079719,0.0063698012
Egfl7,0.008432569,-0.22998865,0.025754139,0.25042927,-0.011999813,-0.12050671,0.12464128,-0.01702213,-0.044321604,-0.28879294,-0.0363581,-0.35018677,0.14072332,0.011165534,-0.0073924493,0.28109112,-0.24979207,0.07456404,-0.73952675,0.09388789
1700007K13Rik,-0.03819871,0.43757758,0.29932147,0.07853935,0.03018469,-0.32725763,-0.39796504,-0.17090435,0.17789143,0.51755065,-0.4678809,0.030713,0.2613036,-0.4034474,-0.008436349,-0.25654003,-0.67283845,0.31089768,1.5064211,-0.10951154
Gfi1b,-0.09088685,-0.5939953,-0.2581596,-0.030132672,0.1116305,0.09590834,0.0792536,-0.6306244,-0.088181354,0.63420486,-0.5958878,-0.9321782,0.02409962,-0.051573828,-0.9354455,-0.08005947,-0.47182772,-2.1065216,2.006987,0.1715593
Cfap77,-0.06290569,0.3958019,0.2328796,0.017903022,-0.012161717,-0.16839927,-0.2761192,-0.19623208,-0.2721227,0.291425,-0.39940995,0.49476504,-0.33097127,-0.7013729,-1.4143122,-0.16175514,-0.16216253,-0.42399526,2.1195238,0.07390132
Prrx2,-0.096167974,0.28561383,0.21935488,-0.004157736,0.048598763,-0.12382276,-0.09981376,0.18634203,-0.65989476,0.83576417,0.16970545,0.03297664,0.54478914,-0.22400723,-1.7328588,0.014919576,0.7659943,-0.5713408,-0.06961534,-0.35721967
Ass1,-0.23858382,-0.180781,-0.047607515,0.11529933,0.037514433,-0.051860932,-0.2602324,0.03617806,-0.16169009,0.1512675,-0.06771395,-0.07461526,-0.08564284,-0.09361828,0.8790224,-0.14607014,-0.5676007,0.4115186,0.5104626,0.008583007
Ak1,0.007159405,0.22429045,0.38931197,-0.0624547,-0.09448515,-0.33019468,0.045801304,0.07254016,-0.029729804,0.89992666,-0.24994196,0.042759668,0.019298598,-0.3300055,-0.48237318,0.06160624,-0.60734564,0.17714126,0.046847843,0.034063548
Gsn,-0.32967016,0.10591993,-0.15875334,-0.17221174,-0.019332333,0.02138663,-0.394636,-0.22770976,-0.13193795,1.1310211,-0.14127055,0.30116487,0.13418294,-0.07641122,0.2923456,0.036376096,-0.0004650892,0.19385658,1.3311704,0.47577727
Morn5,-0.032324746,0.30639148,0.548164,0.39175922,0.13953269,-0.119662546,-0.37818342,-0.64099944,-0.24385251,1.2555448,-0.47888884,-0.037239987,-0.12698923,-0.6977671,-1.9936879,-0.51426715,0.07621725,-0.86133593,2.8915713,0.27983966
Lhx2,-0.0066153943,-0.028571717,-0.030546362,-0.2552005,-0.52178764,0.20643541,0.80612284,0.21107344,-0.75232977,-0.059588894,0.36360306,0.4080376,-0.28020293,-0.36092415,-1.0530415,-0.029436518,0.76686263,-0.38694617,2.1203177,-0.11437162
Ermn,-0.23868454,-0.289089,-0.06966642,-1.0251622,-1.1042724,0.2581819,0.99540925,-1.0007672,-0.35885623,0.5368632,0.40668637,0.81812733,-0.54345196,-0.58148193,-3.3111987,0.008747446,-1.1006188,-0.6120044,2.8073537,0.07321062
Dpp4,-0.08071543,-0.44506013,-0.11774729,0.006643443,-0.36975265,-0.026880803,0.008793625,-0.28012294,0.27366942,0.29872125,0.007524232,0.38535696,0.020193113,0.047725245,0.2101029,0.023413057,0.9990774,0.2570988,2.2184684,0.22107238
Nostrin,-0.2903321,0.029599216,0.28133512,-0.14274308,0.04990826,0.055624638,-0.04686706,-0.10762697,-0.102428705,0.7673501,0.17183968,-0.05507612,0.24190272,-0.0026128436,0.37346405,0.2493822,0.6222736,-0.16201779,2.5273185,0.28605685
Sp5,-0.38801003,0.44974256,-0.44456416,0.33052728,0.2782068,0.0037085805,0.35158357,-0.4923093,0.18839969,-0.36490932,-0.43012217,-0.029812288,-0.3057943,0.17641807,-1.5469122,-0.8495392,0.7053755,0.606521,0.15753794,0.597922
Erich2,-0.29697776,0.4432505,0.0507682,0.20401967,0.0793332,-0.2016082,0.03952052,-0.8902877,0.11062037,0.6567469,-0.5088209,-0.0586069,-0.24657568,-0.17891337,-1.674923,-0.6883026,0.5291162,0.017069833,1.8450137,0.45725316
Dlx2,-0.15133317,-0.53437775,-0.88725984,0.11870398,0.44148502,-0.24638055,0.40674055,0.52799433,-0.6111253,0.72189325,0.53762525,0.09871659,0.3538959,-0.5960785,-1.7466357,-0.12696213,0.4856477,-0.5022175,2.2032697,-0.37182117
Hoxd9,-0.08472855,-0.24094842,-0.11029145,0.63343567,-0.057598718,-0.2292909,0.46951675,-0.076127976,0.90396893,1.9721206,0.19973925,-0.30105716,-0.29096895,-0.11416555,-1.6637888,-0.6211318,0.9465274,-0.80891913,1.2359173,-0.65522087
Hoxd4,0.15855542,-0.73590314,-0.26297244,-0.0570253,-0.6170502,-0.309838,-0.4126267,0.5846802,0.51406884,0.36834002,0.21456662,0.4496825,0.07825205,-0.021357035,-2.5054219,-0.23980619,1.4165659,-1.1293185,1.5924776,-0.047982723
Hoxd1,-0.18522263,-0.37330735,-0.3100543,0.37337285,-0.56838614,-0.12735784,0.22305225,-1.663862e-05,0.28322384,1.086454,-0.24246953,-0.1474384,-0.12793072,-0.08819632,-1.9348053,-0.5153407,0.7365425,-0.50070596,0.47414935,-0.5555293
Pde11a,-0.11209467,-0.48990685,-0.46072224,-0.2697777,-0.25055072,-0.23451406,-0.08811076,0.15870014,-0.72807115,1.2545342,0.025457121,0.07403192,-0.08931187,-0.08052537,-1.7335554,0.20059356,0.8183097,-1.881317,2.4403384,0.1227787
Ttn,0.46466994,0.34455657,0.32511255,-0.78781605,-0.017383885,-0.328588,0.22535147,-0.15617098,-0.09310003,1.3588215,-0.42910054,0.15413037,0.12271949,0.2790034,-1.6587342,0.10786193,0.5600741,-1.6395875,2.3142478,-0.4047287
Ccdc141,-0.0017989101,0.21405287,0.19037859,-0.4633818,-0.41477415,-0.05249759,-0.0019961176,-0.45785087,-0.33763382,0.869156,-0.31310654,-0.2247086,0.1326514,-0.031018056,-1.2506917,0.32690525,0.60095644,-1.3409338,1.8013442,-0.39564937
Frzb,-0.18319225,0.34994212,-0.14444964,0.17384617,0.10174011,-0.010192868,0.28179005,-0.07586549,-0.11173496,-0.13787775,-0.07866494,-0.06255588,-0.36798987,0.008113777,-1.7151735,-0.5884411,0.73482037,0.774633,0.19411781,0.32057083
Tfpi,-0.1357066,0.12622033,-0.039592605,0.071724,-0.17473397,-0.03601516,-0.21006499,-0.17668507,-0.09342704,0.23420541,0.06767111,-0.5081494,0.018045723,0.013337419,0.21206775,0.28928444,0.8475915,-0.09123341,0.24472992,0.3857655
Ube2l6,-0.12117581,-0.06550859,-0.122146934,-0.102813564,-0.18265077,-0.06496586,0.047412783,-0.08151175,-0.17247815,0.28890008,-0.21212268,-0.3818283,-0.12270036,-0.19117513,0.32798016,-0.0666925,-0.42297113,-1.2226235,0.96079963,0.10553896
Aplnr,-0.030482478,-0.042318724,0.17641833,0.4511676,0.15306741,-0.11376818,-0.5066546,-0.54724354,-0.16016829,0.93085474,-0.26778084,-0.7988258,0.04064173,0.23056841,-1.9269853,0.0041985097,0.6301298,0.16409558,0.24396701,0.3597828
Spi1,0.078070745,-0.8876612,-0.04527293,0.11258055,0.20369416,-0.12198363,-0.17929868,-0.1955575,-0.03321703,0.31253612,-0.3367461,-1.1164429,0.4060823,0.35290504,-1.1886543,0.38113394,-0.7461524,-0.66806316,2.8684514,0.3406796
Mybpc3,0.18354884,0.4110439,0.62063515,-0.6369825,0.012642244,-0.30859345,0.23327845,-0.13488303,-0.071921386,1.4311583,-0.5642141,0.04157303,0.076966636,0.20278223,-1.9964502,0.27736208,0.18342076,-2.0413728,2.9598808,-0.31787997
Mdk,-0.13078421,-0.050891377,-0.051488876,0.022339769,-0.20920025,-0.10239241,0.017041063,-0.010510784,0.028181534,-1.1176871,0.05425458,0.19366582,0.09655594,-0.05761685,-0.10502994,-0.0141402,0.313109,0.26297465,-2.0380828,0.023316592
Creb3l1,-0.21031985,0.1643732,0.053664073,0.15655437,-0.15866648,0.02064724,-0.08159326,0.075744085,-0.036128636,0.61215436,-0.0037810167,-0.23738407,-0.30426264,0.3349871,-0.35339782,0.65760666,0.6300826,0.06724818,1.1376616,-0.2611342
Gm13889,0.19956148,0.08096003,0.22861482,0.42518812,-0.028805815,-0.16736305,0.3442123,-0.16756064,-0.16154373,1.2176907,-0.17833291,-0.48705557,0.61096805,0.20872313,-2.2730758,0.2337904,0.45993742,-0.8861305,1.7814707,0.6317863
Elf5,-0.164574,-0.07303157,0.02645723,-0.10542166,-0.08381062,0.19289458,0.05213232,-0.2535411,-0.059637353,1.8418764,0.012857578,0.30361432,-0.1566591,-0.059021592,-0.28074276,-0.5947496,-1.5872896,0.34829226,1.348538,0.06063112
Lmo2,0.098594144,-0.5415419,0.16706647,0.45455015,-0.038719505,-0.461798,0.14013705,-0.6650247,0.4326091,-0.32494372,0.021822566,-1.0528558,-0.023486363,-0.15082404,-0.7990754,-0.4979767,0.08907695,-1.1615674,0.10370512,0.3151075
Cd59a,-0.123714775,0.10362366,0.025088418,0.21395408,-0.11759365,0.14815874,0.27732098,-0.4955219,0.09870092,0.076708786,-0.20320438,-0.5648719,0.08155586,0.09994851,0.3818931,0.5752678,0.41488224,-0.45914277,0.91016304,0.1341206
Depdc7,-0.252681,-0.02209921,0.14268531,0.079570025,-0.44039607,-0.30341116,-0.23992866,0.24357419,-0.31353903,-0.030669656,-0.045195173,0.12915279,-0.019264802,-0.39034668,0.058865532,0.07695925,0.55570894,0.055417407,1.4381226,0.29980054
Pax6,-0.13051751,-0.23568521,-0.389309,-0.78595465,-0.9492271,0.11132717,0.41336295,0.18512847,-0.34898317,0.007882316,0.19464584,1.2303469,0.031699643,0.15423362,-2.8208435,0.28773874,-0.14866254,-1.3314495,2.028639,0.25378034
Mpped2,0.16855167,0.20107426,0.15845414,-0.20141506,-0.12559696,-0.18473227,0.18116528,0.19897948,-0.20803504,0.7718454,-0.37164962,0.15047534,0.23625644,-0.023528287,-0.43763477,0.098503076,-0.18683884,0.3196731,-0.17513919,0.05646072
